102,163
203,311
304,450
405,620
506,751
607,901
708,999
809,1128
910,1276
1011,1471
1112,1622
1213,1686
1314,1833
1415,2009
1516,2108
1617,2357
1718,2389
1819,2517
1920,2632
2021,2853
2122,3112
2223,3463
2324,3944
2425,3591
2526,3813
2627,3695
2728,4377
2829,4362
2930,4115
3031,4326
3132,4257
3233,4378
3334,4916
3435,4864
3536,5114
3637,5197
3738,5713
3839,5386
3940,5634
4041,5977
4142,6275
4243,6134
4344,6503
4445,6364
4546,7022
4647,6621
4748,6679
4849,6895
4950,7123
5051,7405
5152,8173
5253,7817
5354,7880
5455,8230
5556,8656
5657,8467
5758,8180
5859,8717
5960,8355
6061,8735
6162,8557
6263,8721
6364,8971
6465,10010
6566,9304
6667,9484
6768,9570
6869,10663
6970,12286
7071,10476
7172,10404
7273,10439
7374,10734
7475,10697
7576,10913
7677,10928
7778,11311
7879,11147
7980,11218
8081,11539
8182,11567
8283,12098
8384,11929
8485,12153
8586,12439
8687,12358
8788,12386
8889,12674
8990,12578
9091,12822
9192,12903
9293,13260
9394,13480
9495,13598
9596,13371
9697,13447
9798,13276
9899,13862
10000,13988
10101,14822
