2,36
3,61
4,70
5,63
7,10
9,8
11,10
14,13
17,9
21,14
26,15
32,8
39,10
47,16
57,15
69,11
83,10
100,22
121,11
146,14
176,14
212,20
255,23
307,19
369,27
443,15
532,21
639,15
767,20
921,17
1106,21
1328,23
1594,33
1913,26
2296,28
2756,23
3308,33
3970,29
4765,22
5719,35
6863,21
8236,25
9884,33
11861,32
14234,30
17081,26
20498,21
24598,25
29518,37
35422,25
42507,58
51009,27
61211,38
73454,37
88145,35
105775,41
126931,30
152318,32
182782,59
219339,41
263207,41
315849,38
379019,74
454823,68
545788,59
654946,61
785936,59
943124,53
943124,159
1131749,58
1358099,75
1629719,71
1955663,61
2346796,72
2816156,56
3379388,81
4055266,74
4866320,81
